time,T_set
2019-02-22T05:04:14Z,19
2019-02-22T05:19:14Z,19
2019-02-22T05:30:13Z,23
2019-02-22T05:34:14Z,23
2019-02-22T06:04:14Z,23
2019-02-22T06:19:14Z,23
2019-02-22T06:34:14Z,23
2019-02-22T06:49:14Z,23
2019-02-22T07:04:14Z,23
2019-02-22T07:19:14Z,23
2019-02-22T07:34:14Z,23
2019-02-22T07:40:53Z,20.5
2019-02-22T07:49:14Z,20.5
2019-02-22T08:04:14Z,20.5
2019-02-22T08:19:14Z,20.5
2019-02-22T08:34:14Z,20.5
2019-02-22T08:49:14Z,20.5
2019-02-22T09:12:03Z,20.5
2019-02-22T09:27:03Z,20.5
2019-02-22T09:42:03Z,20.5
2019-02-22T09:57:03Z,20.5
2019-02-22T10:12:03Z,20.5
2019-02-22T10:27:03Z,20.5
2019-02-22T10:42:03Z,20.5
2019-02-22T10:57:03Z,20.5
2019-02-22T11:12:03Z,20.5
2019-02-22T11:27:03Z,20.5
2019-02-22T11:42:03Z,20.5
2019-02-22T11:57:03Z,20.5
2019-02-22T12:12:03Z,20.5
2019-02-22T12:27:03Z,20.5
2019-02-22T12:42:03Z,20.5
2019-02-22T12:57:03Z,20.5
2019-02-22T14:42:03Z,20.5
2019-02-22T14:57:03Z,20.5
2019-02-22T15:12:03Z,20.5
2019-02-22T15:42:03Z,20.5
2019-02-22T16:12:03Z,20.5
2019-02-22T16:27:03Z,20.5
2019-02-22T16:42:03Z,20.5
2019-02-22T16:57:03Z,20.5
2019-02-22T17:00:41Z,17.5
2019-02-22T17:12:03Z,17.5
2019-02-22T17:27:03Z,17.5
2019-02-22T17:42:03Z,17.5
2019-02-22T17:57:03Z,17.5
2019-02-22T18:12:03Z,17.5
2019-02-22T18:27:03Z,17.5
2019-02-22T18:42:03Z,17.5
2019-02-22T18:57:03Z,17.5
2019-02-22T19:12:03Z,17.5
2019-02-22T19:27:03Z,17.5
2019-02-22T19:42:03Z,17.5
2019-02-22T19:57:03Z,17.5
2019-02-22T20:12:03Z,17.5
2019-02-22T20:27:03Z,17.5
2019-02-22T20:42:03Z,17.5
2019-02-22T20:57:03Z,17.5
2019-02-22T21:12:03Z,17.5
2019-02-22T21:27:03Z,17.5
2019-02-22T21:42:03Z,17.5
2019-02-22T21:57:03Z,17.5
2019-02-22T22:12:03Z,17.5
2019-02-22T22:27:03Z,17.5
2019-02-22T22:42:03Z,17.5
2019-02-22T22:57:03Z,17.5
2019-02-22T23:12:03Z,17.5
2019-02-22T23:27:03Z,17.5
2019-02-22T23:42:03Z,17.5
2019-02-22T23:57:03Z,17.5
2019-02-23T00:12:03Z,17.5
2019-02-23T00:27:03Z,17.5
2019-02-23T00:42:03Z,17.5
2019-02-23T00:57:03Z,17.5
2019-02-23T01:12:03Z,17.5
2019-02-23T01:27:03Z,17.5
2019-02-23T01:42:03Z,17.5
2019-02-23T01:57:03Z,17.5
2019-02-23T02:12:03Z,17.5
2019-02-23T02:27:03Z,17.5
2019-02-23T02:42:03Z,17.5
2019-02-23T02:57:03Z,17.5
2019-02-23T03:12:03Z,17.5
2019-02-23T03:27:03Z,17.5
2019-02-23T03:42:03Z,17.5
2019-02-23T03:57:03Z,17.5
2019-02-23T04:12:03Z,17.5
2019-02-23T04:27:03Z,17.5
2019-02-23T04:42:03Z,17.5
2019-02-23T04:57:03Z,17.5
2019-02-23T05:12:03Z,17.5
2019-02-23T05:27:03Z,17.5
2019-02-23T05:42:03Z,17.5
2019-02-23T05:57:03Z,17.5
2019-02-23T06:12:03Z,17.5
2019-02-23T06:27:03Z,17.5
2019-02-23T06:42:03Z,17.5
2019-02-23T06:57:03Z,17.5
2019-02-23T07:12:03Z,17.5
2019-02-23T07:27:03Z,17.5
2019-02-23T07:42:03Z,17.5
2019-02-23T07:57:03Z,17.5
2019-02-23T08:12:03Z,17.5
2019-02-23T08:27:03Z,17.5
2019-02-23T08:42:03Z,17.5
2019-02-23T08:57:03Z,17.5
2019-02-23T09:12:03Z,17.5
2019-02-23T09:27:03Z,17.5
2019-02-23T09:42:03Z,17.5
2019-02-23T09:57:03Z,17.5
2019-02-23T10:12:03Z,17.5
2019-02-23T10:27:03Z,17.5
2019-02-23T10:42:03Z,17.5
2019-02-23T10:57:03Z,17.5
2019-02-23T11:12:03Z,17.5
2019-02-23T11:27:03Z,17.5
2019-02-23T11:42:03Z,17.5
2019-02-23T11:57:03Z,17.5
2019-02-23T12:12:03Z,17.5
2019-02-23T12:27:03Z,17.5
2019-02-23T12:42:03Z,17.5
2019-02-23T12:57:03Z,17.5
2019-02-23T13:12:03Z,17.5
2019-02-23T13:27:03Z,17.5
2019-02-23T13:42:03Z,17.5
2019-02-23T13:57:03Z,17.5
2019-02-23T14:12:03Z,17.5
2019-02-23T14:27:03Z,17.5
2019-02-23T14:42:03Z,17.5
2019-02-23T14:57:03Z,17.5
2019-02-23T15:12:03Z,17.5
2019-02-23T15:27:04Z,17.5
2019-02-23T15:42:04Z,17.5
2019-02-23T15:57:04Z,17.5
2019-02-23T16:12:04Z,17.5
2019-02-23T16:27:04Z,17.5
2019-02-23T16:42:04Z,17.5
2019-02-23T16:57:04Z,17.5
2019-02-23T17:12:04Z,17.5
2019-02-23T17:27:04Z,17.5
2019-02-23T17:42:04Z,17.5
2019-02-23T17:57:04Z,17.5
2019-02-23T18:12:04Z,17.5
2019-02-23T18:27:04Z,17.5
2019-02-23T18:42:04Z,17.5
2019-02-23T18:57:04Z,17.5
2019-02-23T19:12:04Z,17.5
2019-02-23T19:27:04Z,17.5
2019-02-23T19:42:04Z,17.5
2019-02-23T19:57:04Z,17.5
2019-02-23T20:12:04Z,17.5
2019-02-23T20:27:04Z,17.5
2019-02-23T20:42:04Z,17.5
2019-02-23T20:57:04Z,17.5
2019-02-23T21:12:04Z,17.5
2019-02-23T21:27:04Z,17.5
2019-02-23T21:42:04Z,17.5
2019-02-23T21:57:04Z,17.5
2019-02-23T22:12:04Z,17.5
2019-02-23T22:27:04Z,17.5
2019-02-23T22:42:04Z,17.5
2019-02-23T22:57:04Z,17.5
2019-02-23T23:12:04Z,17.5
2019-02-23T23:27:04Z,17.5
2019-02-23T23:42:04Z,17.5
2019-02-23T23:57:04Z,17.5
2019-02-24T00:12:04Z,17.5
2019-02-24T00:27:04Z,17.5
2019-02-24T00:42:04Z,17.5
2019-02-24T00:57:04Z,17.5
2019-02-24T01:12:04Z,17.5
2019-02-24T01:27:04Z,17.5
2019-02-24T01:42:04Z,17.5
2019-02-24T01:57:04Z,17.5
2019-02-24T02:12:04Z,17.5
2019-02-24T02:27:04Z,17.5
2019-02-24T02:42:04Z,17.5
2019-02-24T02:57:04Z,17.5
2019-02-24T03:12:04Z,17.5
2019-02-24T03:27:04Z,17.5
2019-02-24T03:42:04Z,17.5
2019-02-24T03:57:04Z,17.5
2019-02-24T04:12:04Z,17.5
2019-02-24T04:27:04Z,17.5
2019-02-24T04:42:04Z,17.5
2019-02-24T04:57:04Z,17.5
2019-02-24T05:12:04Z,17.5
2019-02-24T05:27:04Z,17.5
2019-02-24T05:42:04Z,17.5
2019-02-24T05:57:04Z,17.5
2019-02-24T06:12:04Z,17.5
2019-02-24T06:27:04Z,17.5
2019-02-24T06:42:04Z,17.5
2019-02-24T06:57:04Z,17.5
2019-02-24T07:12:04Z,17.5
2019-02-24T07:27:04Z,17.5
2019-02-24T07:42:04Z,17.5
2019-02-24T07:57:04Z,17.5
2019-02-24T08:12:04Z,17.5
2019-02-24T08:27:04Z,17.5
2019-02-24T08:42:04Z,17.5
2019-02-24T08:57:04Z,17.5
2019-02-24T09:12:04Z,17.5
2019-02-24T09:27:04Z,17.5
2019-02-24T09:42:04Z,17.5
2019-02-24T09:57:04Z,17.5
2019-02-24T10:12:04Z,17.5
2019-02-24T10:27:04Z,17.5
2019-02-24T10:42:04Z,17.5
2019-02-24T10:57:04Z,17.5
2019-02-24T11:12:04Z,17.5
2019-02-24T11:27:04Z,17.5
2019-02-24T11:42:04Z,17.5
2019-02-24T11:57:04Z,17.5
2019-02-24T12:12:04Z,17.5
2019-02-24T12:27:04Z,17.5
2019-02-24T12:42:04Z,17.5
2019-02-24T12:57:04Z,17.5
2019-02-24T13:12:04Z,17.5
2019-02-24T13:27:04Z,17.5
2019-02-24T13:42:04Z,17.5
2019-02-24T13:57:04Z,17.5
2019-02-24T14:12:04Z,17.5
2019-02-24T14:27:04Z,17.5
2019-02-24T14:42:04Z,17.5
2019-02-24T14:57:04Z,17.5
2019-02-24T15:12:04Z,17.5
2019-02-24T15:27:04Z,17.5
2019-02-24T15:42:04Z,17.5
2019-02-24T15:57:04Z,17.5
2019-02-24T16:12:04Z,17.5
2019-02-24T16:27:04Z,17.5
2019-02-24T16:42:04Z,17.5
2019-02-24T16:57:04Z,17.5
2019-02-24T17:12:04Z,17.5
2019-02-24T17:27:04Z,17.5
2019-02-24T17:42:04Z,17.5
2019-02-24T17:57:04Z,17.5
2019-02-24T18:12:04Z,17.5
2019-02-24T18:27:04Z,17.5
2019-02-24T18:42:04Z,17.5
2019-02-24T18:57:04Z,17.5
2019-02-24T19:12:04Z,17.5
2019-02-24T19:27:04Z,17.5
2019-02-24T19:42:04Z,17.5
2019-02-24T19:57:04Z,17.5
2019-02-24T20:12:04Z,17.5
2019-02-24T20:27:04Z,17.5
2019-02-24T20:42:04Z,17.5
2019-02-24T20:57:04Z,17.5
2019-02-24T21:12:04Z,17.5
2019-02-24T21:27:04Z,17.5
2019-02-24T21:42:04Z,17.5
2019-02-24T21:57:04Z,17.5
2019-02-24T22:12:04Z,17.5
2019-02-24T22:27:04Z,17.5
2019-02-24T22:42:04Z,17.5
2019-02-24T22:57:04Z,17.5
2019-02-24T23:12:04Z,17.5
2019-02-24T23:27:04Z,17.5
2019-02-24T23:42:04Z,17.5
2019-02-24T23:57:04Z,17.5
2019-02-25T00:12:04Z,17.5
2019-02-25T00:27:04Z,17.5
2019-02-25T00:42:04Z,17.5
2019-02-25T00:57:04Z,17.5
2019-02-25T01:12:04Z,17.5
2019-02-25T01:27:04Z,17.5
2019-02-25T01:42:04Z,17.5
2019-02-25T01:57:04Z,17.5
2019-02-25T02:12:04Z,17.5
2019-02-25T02:27:04Z,17.5
2019-02-25T02:42:04Z,17.5
2019-02-25T02:57:04Z,17.5
2019-02-25T03:12:04Z,17.5
2019-02-25T03:27:04Z,17.5
2019-02-25T03:42:04Z,17.5
2019-02-25T03:57:04Z,17.5
2019-02-25T04:12:04Z,17.5
2019-02-25T04:27:04Z,17.5
2019-02-25T04:42:04Z,17.5
2019-02-25T04:57:04Z,17.5
2019-02-25T05:12:04Z,17.5
2019-02-25T05:27:04Z,17.5
2019-02-25T05:30:26Z,21
2019-02-25T05:42:04Z,21
2019-02-25T05:57:04Z,21
2019-02-25T06:12:04Z,21
2019-02-25T06:27:04Z,21
2019-02-25T06:42:04Z,21
2019-02-25T06:57:04Z,21
2019-02-25T07:12:04Z,21
2019-02-25T07:27:04Z,21
2019-02-25T07:42:04Z,21
2019-02-25T07:57:04Z,21
2019-02-25T08:12:04Z,21
2019-02-25T08:27:04Z,21
2019-02-25T08:42:04Z,21
2019-02-25T08:57:04Z,21
2019-02-25T09:12:04Z,21
2019-02-25T09:27:04Z,21
2019-02-25T09:57:04Z,21
2019-02-25T10:12:04Z,21
2019-02-25T10:27:04Z,21
2019-02-25T10:42:04Z,21
2019-02-25T10:57:04Z,21
2019-02-25T11:12:04Z,21
2019-02-25T11:27:04Z,21
2019-02-25T11:42:04Z,21
2019-02-25T11:57:04Z,21
2019-02-25T12:12:04Z,21
2019-02-25T12:27:04Z,21
2019-02-25T12:42:04Z,21
2019-02-25T12:57:04Z,21
2019-02-25T13:12:04Z,21
2019-02-25T13:27:04Z,21
2019-02-25T13:42:04Z,21
2019-02-25T13:57:04Z,21
2019-02-25T14:12:04Z,21
2019-02-25T14:27:04Z,21
2019-02-25T14:42:04Z,21
2019-02-25T14:57:04Z,21
2019-02-25T15:12:04Z,21
2019-02-25T15:27:04Z,21
2019-02-25T15:42:04Z,21
2019-02-25T15:57:04Z,21
2019-02-25T16:12:04Z,21
2019-02-25T16:27:04Z,21
2019-02-25T16:42:04Z,21
2019-02-25T16:57:04Z,21
2019-02-25T17:00:42Z,17.5
2019-02-25T17:00:59Z,17.5
2019-02-25T17:15:59Z,17.5
2019-02-25T17:30:59Z,17.5
2019-02-25T17:45:59Z,17.5
2019-02-25T18:01:00Z,17.5
2019-02-25T18:05:39Z,22
2019-02-25T18:16:00Z,22
2019-02-25T18:31:00Z,22
2019-02-25T18:46:00Z,22
2019-02-25T19:01:00Z,22
2019-02-25T19:16:00Z,22
2019-02-25T19:16:59Z,22
2019-02-25T19:31:59Z,22
2019-02-25T19:33:11Z,22
2019-02-25T19:48:11Z,22
2019-02-25T20:00:52Z,17.5
2019-02-25T20:03:11Z,17.5
2019-02-25T20:13:27Z,17.5
2019-02-25T20:20:05Z,17.5
2019-02-25T20:33:43Z,17.5
2019-02-25T20:39:53Z,17.5
2019-02-25T20:54:53Z,17.5
2019-02-25T21:09:53Z,17.5
2019-02-25T21:24:53Z,17.5
2019-02-25T21:39:53Z,17.5
2019-02-25T21:54:53Z,17.5
2019-02-25T22:09:53Z,17.5
2019-02-25T22:24:53Z,17.5
2019-02-25T22:39:53Z,17.5
2019-02-25T22:54:53Z,17.5
2019-02-25T23:09:53Z,17.5
2019-02-25T23:24:53Z,17.5
2019-02-25T23:39:53Z,17.5
2019-02-25T23:54:53Z,17.5
2019-02-26T00:09:53Z,17.5
2019-02-26T00:24:53Z,17.5
2019-02-26T00:39:53Z,17.5
2019-02-26T00:54:53Z,17.5
2019-02-26T01:09:53Z,17.5
2019-02-26T01:24:53Z,17.5
2019-02-26T01:39:53Z,17.5
2019-02-26T01:54:53Z,17.5
2019-02-26T02:09:53Z,17.5
2019-02-26T02:24:53Z,17.5
2019-02-26T02:39:53Z,17.5
2019-02-26T02:54:53Z,17.5
2019-02-26T03:09:53Z,17.5
2019-02-26T03:24:53Z,17.5
2019-02-26T03:39:53Z,17.5
2019-02-26T03:54:53Z,17.5
2019-02-26T04:05:11Z,17.5
2019-02-26T04:20:11Z,17.5
2019-02-26T04:35:11Z,17.5
2019-02-26T04:50:11Z,17.5
2019-02-26T05:05:11Z,17.5
2019-02-26T05:20:11Z,17.5
2019-02-26T05:31:48Z,21
2019-02-26T05:35:11Z,21
2019-02-26T05:50:11Z,21
2019-02-26T06:05:11Z,21
