time,T_in,valve,T_set
2019-02-21T01:43:04Z,18.93,5,19
2019-02-21T01:48:04Z,18.93,5,19
2019-02-21T01:53:04Z,18.93,5,19
2019-02-21T01:58:04Z,18.93,5,19
2019-02-21T02:03:04Z,18.93,5,19
2019-02-21T02:08:04Z,18.93,11,19
2019-02-21T02:13:04Z,18.93,11,19
2019-02-21T02:18:04Z,18.93,11,19
2019-02-21T02:23:04Z,18.93,11,19
2019-02-21T02:28:04Z,18.93,11,19
2019-02-21T02:33:04Z,18.93,11,19
2019-02-21T02:38:04Z,18.93,11,19
2019-02-21T02:43:04Z,18.93,11,19
2019-02-21T02:48:04Z,18.93,11,19
2019-02-21T02:53:04Z,18.93,11,19
2019-02-21T02:58:04Z,18.93,11,19
2019-02-21T03:03:04Z,18.93,11,19
2019-02-21T03:08:04Z,18.93,11,19
2019-02-21T03:13:04Z,18.93,11,19
2019-02-21T03:18:04Z,18.93,11,19
2019-02-21T03:23:04Z,18.93,15,19
2019-02-21T03:28:04Z,18.93,15,19
2019-02-21T03:33:04Z,18.93,15,19
2019-02-21T03:38:04Z,18.93,15,19
2019-02-21T03:43:04Z,18.93,15,19
2019-02-21T03:48:04Z,18.93,15,19
2019-02-21T03:53:04Z,18.93,15,19
2019-02-21T03:58:04Z,18.93,15,19
2019-02-21T04:03:04Z,18.93,15,19
2019-02-21T04:08:04Z,18.93,15,19
2019-02-21T04:13:04Z,18.93,15,19
2019-02-21T04:18:04Z,18.49,15,19
2019-02-21T04:23:04Z,18.49,16,19
2019-02-21T04:28:04Z,18.58,16,19
2019-02-21T04:33:04Z,18.58,11,19
2019-02-21T04:38:04Z,18.58,11,19
2019-02-21T04:43:04Z,18.58,11,19
2019-02-21T04:48:04Z,18.58,6,19
2019-02-21T04:53:04Z,18.58,6,19
2019-02-21T04:58:04Z,18.58,6,19
2019-02-21T05:03:04Z,18.58,6,19
2019-02-21T05:08:04Z,18.58,6,19
2019-02-21T05:13:04Z,18.58,6,19
2019-02-21T05:18:04Z,18.58,6,19
2019-02-21T05:23:04Z,18.58,6,19
2019-02-21T05:28:04Z,18.58,6,19
2019-02-21T05:33:04Z,19.1,87,23
2019-02-21T05:38:04Z,19.1,87,23
2019-02-21T05:43:04Z,19.54,82,23
2019-02-21T05:48:04Z,20.25,68,23
2019-02-21T05:53:04Z,20.87,60,23
2019-02-21T05:58:04Z,21.4,47,23
2019-02-21T06:03:04Z,21.4,43,23
